"MMSI","IMO","SHIP_ID","LAT","LON","SPEED","HEADING","COURSE","STATUS","TIMESTAMP","DSRC","UTC_SECONDS","rowNums"
316023833,9185188,382914,49.22595,-124.8141,0,23,24,8,"2022-01-14 18:26:04","TER",3,1
316039171,9781839,5837763,54.33405,-130.3014,6,129,12,0,"2022-01-14 18:26:49","TER",46,2
