"MMSI","IMO","SHIP_ID","LAT","LON","SPEED","HEADING","COURSE","STATUS","TIMESTAMP","DSRC","UTC_SECONDS"
273813300,8607086,351364,42.64167,132.7667,90,511,93,0,2022-02-05 10:59:47,"SAT",98
316023833,9185188,382914,49.226,-124.8141,0,24,24,8,2022-02-05 11:07:04,"TER",3
369970147,9349069,457336,48.15333,-125.525,70,237,239,0,2022-02-05 11:07:39,"SAT",98
316039171,9781839,5837763,48.42127,-123.3875,0,46,46,5,2022-02-05 11:05:55,"TER",54
273813300,8607086,351364,42.57,132.98,90,511,120,0,2022-02-05 12:08:48,"SAT",98
316023833,9185188,382914,49.22593,-124.8142,0,23,25,8,2022-02-05 12:09:24,"TER",99
369970147,9349069,457336,48.09049,-125.676,69,237,240,0,2022-02-05 12:10:13,"SAT",13
316039171,9781839,5837763,48.42127,-123.3874,0,47,46,5,2022-02-05 12:08:55,"TER",54
273813300,8607086,351364,42.49667,133.1367,90,511,120,0,2022-02-05 12:59:47,"SAT",98
316023833,9185188,382914,49.2259,-124.8141,0,24,25,8,2022-02-05 13:05:24,"TER",99
369970147,9349069,457336,48.03039,-125.8189,75,240,243,0,2022-02-05 13:05:37,"SAT",34
316039171,9781839,5837763,48.42127,-123.3874,0,47,47,5,2022-02-05 13:05:56,"TER",54
273813300,8607086,351364,42.47,133.2383,0,511,6,0,2022-02-05 14:05:54,"SAT",98
316023833,9185188,382914,49.226,-124.8141,0,22,25,8,2022-02-05 14:05:24,"TER",99
369970147,9349069,457336,47.96022,-125.9939,93,244,240,0,2022-02-05 14:04:11,"SAT",8
316039171,9781839,5837763,48.42125,-123.3874,0,47,47,5,2022-02-05 14:05:55,"TER",54
273813300,8607086,351364,42.44833,133.3317,90,511,106,0,2022-02-05 15:02:48,"SAT",98
316023833,9185188,382914,49.2259,-124.8142,0,23,25,8,2022-02-05 15:07:25,"TER",99
369970147,9349069,457336,47.88,-126.185,90,241,241,0,2022-02-05 15:07:37,"SAT",98
316039171,9781839,5837763,48.42127,-123.3874,0,47,46,5,2022-02-05 15:02:55,"TER",54
273813300,8607086,351364,42.41833,133.49,20,511,283,0,2022-02-05 16:11:50,"SAT",98
316023833,9185188,382914,49.226,-124.814,0,23,25,8,2022-02-05 16:09:25,"TER",99
369970147,9349069,457336,47.86333,-126.28,20,304,302,0,2022-02-05 16:10:37,"SAT",98
316039171,9781839,5837763,48.42125,-123.3874,0,46,46,5,2022-02-05 16:11:55,"TER",54
273813300,8607086,351364,42.40667,133.4633,10,511,246,0,2022-02-05 17:02:51,"SAT",98
316023833,9185188,382914,49.22593,-124.8141,0,25,24,8,2022-02-05 17:03:23,"TER",22
