"MMSI","IMO","SHIP_ID","LAT","LON","SPEED","HEADING","COURSE","STATUS","TIMESTAMP","DSRC","UTC_SECONDS","SHIPNAME","SHIPTYPE","CALLSIGN","FLAG","LENGTH","WIDTH","GRT","DWT","DRAUGHT","YEAR_BUILT","ROT","TYPE_NAME","AIS_TYPE_SUMMARY","DESTINATION","ETA"
273813300,8607086,351364,53.60833,161.465,20,511,328,0,2022-02-13 20:08:52,"SAT",98,"TINRO",99,"UDDL","RU",62.22,13.8,2062,617,60,1987,20,"Research/Survey Vessel","Special Craft","RU VVO",2022-04-27 09:00:00
316023833,9185188,382914,49.2259,-124.8141,0,204,156,5,2022-02-13 20:08:56,"SAT",54,"RAW SPIRIT",30,"CFN6361","CA",42.99,11,931,NA,58,1998,0,"Trawler","Fishing","FISHING GROUNDS",2022-09-22 06:00:00
369970147,9349069,457336,57.72855,-152.4102,0,187,118,1,2022-02-13 20:07:06,"TER",4,"BELL M.SHIMADA",90,"WTED","US",63.6,15,2218,799,60,2009,0,"Research/Survey Vessel","Special Craft","KODIAK AK",2022-02-16 08:00:00
316039171,9781839,5837763,49.87113,-127.5353,42,299,287,0,2022-02-13 20:08:06,"SAT",1,"CCGS SIR JOHN FRANKLIN",51,"VFAM","CA",63.4,16.24,2975,900,61,2019,0,"Research/Survey Vessel","Special Craft","KYUQUOT",2022-02-12 20:00:00
