"MMSI","IMO","SHIP_ID","LAT","LON","SPEED","HEADING","COURSE","STATUS","TIMESTAMP","DSRC","UTC_SECONDS"
273813300,8607086,351364,43.10734,131.9028,1,13,110,0,2022-02-01 00:27:59,"TER",58
316023833,9185188,382914,49.22597,-124.8141,0,24,25,8,2022-02-01 00:28:33,"TER",99
369970147,9349069,457336,48.1273,-123.4254,1,299,195,1,2022-02-01 00:30:36,"TER",35
316039171,9781839,5837763,48.42127,-123.3874,0,47,46,5,2022-02-01 00:31:03,"TER",2
