"MMSI","IMO","SHIP_ID","LAT","LON","SPEED","HEADING","COURSE","STATUS","TIMESTAMP","DSRC","UTC_SECONDS","SHIPNAME","SHIPTYPE","CALLSIGN","FLAG","LENGTH","WIDTH","GRT","DWT","DRAUGHT","YEAR_BUILT","ROT","TYPE_NAME","AIS_TYPE_SUMMARY","DESTINATION","ETA"
273813300,8607086,351364,48.91664,-163.0118,92,184,182,0,2022-03-18 20:12:22,"SAT",29,"TINRO",99,"UDDL","RU",62.22,13.8,2062,617,60,1987,43,"Research/Survey Vessel","Special Craft","PACIFIC OCEAN",2022-03-20 09:00:00
316023833,9185188,382914,47.82112,-134.8166,92,190,190,7,2022-03-18 20:09:02,"SAT",56,"RAW SPIRIT",30,"CFN6361","CA",42.99,11,931,NA,58,1998,0,"Trawler","Fishing","SCIENTIFIC SAMPLING",2022-03-26 06:00:00
316039171,9781839,5837763,51.47206,-136.3335,82,98,90,0,2022-03-18 20:08:30,"SAT",24,"CCGS SIR JOHN FRANKLIN",51,"VFAM","CA",63.4,16.24,2975,900,61,2019,0,"Research/Survey Vessel","Special Craft","0",2022-03-09 03:00:00
