"MMSI","IMO","SHIP_ID","LAT","LON","SPEED","HEADING","COURSE","STATUS","TIMESTAMP","DSRC","UTC_SECONDS","SHIPNAME","SHIPTYPE","CALLSIGN","FLAG","LENGTH","WIDTH","GRT","DWT","DRAUGHT","YEAR_BUILT","ROT","TYPE_NAME","AIS_TYPE_SUMMARY","DESTINATION","ETA"
273813300,8607086,351364,54.455,161.0833,10,511,125,0,2022-02-15 04:08:50,"SAT",98,"TINRO",99,"UDDL","RU",62.22,13.8,2062,617,60,1987,20,"Research/Survey Vessel","Special Craft","RU VVO",2022-04-27 09:00:00
316023833,9185188,382914,49.22597,-124.8142,0,23,95,5,2022-02-15 04:03:32,"TER",99,"RAW SPIRIT",30,"CFN6361","CA",42.99,11,931,NA,58,1998,0,"Trawler","Fishing","FISHING GROUNDS",2022-09-22 06:00:00
369970147,9349069,457336,55.60942,-151.597,103,346,346,0,2022-02-15 04:09:45,"SAT",42,"BELL M.SHIMADA",90,"WTED","US",63.6,15,2218,799,60,2009,720,"Research/Survey Vessel","Special Craft","KODIAK AK",2022-02-16 08:00:00
