MMSI,IMO,SHIP_ID,LAT,LON,SPEED,HEADING,COURSE,STATUS,TIMESTAMP,DSRC,UTC_SECONDS,rowNums
316023833,9185188,382914,49.22592,-124.8142,0,25,24,8,1642203846,SAT,3,
316039171,9781839,5837763,54.27322,-130.3651,64,159,163,0,1642203920,TER,17,
