"MMSI","IMO","SHIP_ID","LAT","LON","SPEED","HEADING","COURSE","STATUS","TIMESTAMP","DSRC","UTC_SECONDS","SHIPNAME","SHIPTYPE","CALLSIGN","FLAG","LENGTH","WIDTH","GRT","DWT","DRAUGHT","YEAR_BUILT","ROT","TYPE_NAME","AIS_TYPE_SUMMARY","DESTINATION","ETA"
316023833,9185188,382914,49.22503,-124.8146,0,293,18,7,2022-04-11 13:25:36,"TER",35,"RAW SPIRIT",30,"CFN6361","CA",42.99,11,931,NA,58,1998,0,"Trawler","Fishing","SCIENTIFIC SAMPLING",2022-03-26 06:00:00
367108540,7926538,437193,51.90477,-167.0131,40,272,270,0,2022-04-11 13:24:13,"SAT",8,"NORTHWEST EXPLORER",30,"WCZ9007","US",44.01,7,816,NA,50,1979,0,"Trawler","Fishing","DUTCH",2022-04-24 22:00:00
369970147,9349069,457336,31.97833,-121.1117,60,24,22,0,2022-04-11 13:23:51,"SAT",98,"BELL M.SHIMADA",90,"WTED","US",63.6,15,2218,799,61,2009,-720,"Research/Survey Vessel","Special Craft","SAN FRANCISCO CA",2022-04-03 14:00:00
316039171,9781839,5837763,48.46533,-124.4355,83,295,294,0,2022-04-11 13:25:45,"TER",42,"CCGS SIR JOHN FRANKLIN",51,"VFAM","CA",63.4,16.24,2975,900,61,2019,0,"Research/Survey Vessel","Special Craft","FRASER DELTA",2022-03-24 15:00:00
