"MMSI","IMO","SHIP_ID","LAT","LON","SPEED","HEADING","COURSE","STATUS","TIMESTAMP","DSRC","UTC_SECONDS","SHIPNAME","SHIPTYPE","CALLSIGN","FLAG","LENGTH","WIDTH","GRT","DWT","DRAUGHT","YEAR_BUILT","ROT","TYPE_NAME","AIS_TYPE_SUMMARY","DESTINATION","ETA"
273813300,8607086,351364,45.82,143.2,90,511,273,0,2022-04-07 23:04:20,"SAT",98,"TINRO",99,"UDDL","RU",62.22,13.8,2062,617,60,1987,43,"Research/Survey Vessel","Special Craft","VLADIVOSTOK",2022-04-12 09:00:00
316023833,9185188,382914,49.22502,-124.8146,0,293,18,7,2022-04-07 23:09:37,"TER",36,"RAW SPIRIT",30,"CFN6361","CA",42.99,11,931,NA,58,1998,0,"Trawler","Fishing","SCIENTIFIC SAMPLING",2022-03-26 06:00:00
367108540,7926538,437193,52.02485,-165.2404,94,359,1,4,2022-04-07 23:08:10,"SAT",48,"NORTHWEST EXPLORER",30,"WCZ9007","US",44.01,7,816,NA,50,1979,0,"Trawler","Fishing","DUTCH",2022-04-24 22:00:00
369970147,9349069,457336,32.5131,-118.2338,27,293,302,0,2022-04-07 23:09:23,"TER",18,"BELL M.SHIMADA",90,"WTED","US",63.6,15,2218,799,61,2009,0,"Research/Survey Vessel","Special Craft","SAN FRANCISCO CA",2022-04-03 14:00:00
316039171,9781839,5837763,48.42123,-123.3875,0,46,45,5,2022-04-07 23:07:15,"TER",14,"CCGS SIR JOHN FRANKLIN",51,"VFAM","CA",63.4,16.24,2975,900,61,2019,0,"Research/Survey Vessel","Special Craft","ROYAL ROADS",2022-03-24 15:00:00
