"MMSI","IMO","SHIP_ID","LAT","LON","SPEED","HEADING","COURSE","STATUS","TIMESTAMP","DSRC","UTC_SECONDS","SHIPNAME","SHIPTYPE","CALLSIGN","FLAG","LENGTH","WIDTH","GRT","DWT","DRAUGHT","YEAR_BUILT","ROT","TYPE_NAME","AIS_TYPE_SUMMARY","DESTINATION","ETA"
273813300,8607086,351364,54.51333,161.0217,0,511,205,0,2022-02-16 13:08:48,"SAT",98,"TINRO",99,"UDDL","RU",62.22,13.8,2062,617,60,1987,20,"Research/Survey Vessel","Special Craft","RU VVO",2022-04-27 09:00:00
316023833,9185188,382914,49.22592,-124.8142,0,24,95,5,2022-02-16 13:08:56,"TER",55,"RAW SPIRIT",30,"CFN6361","CA",42.99,11,931,NA,58,1998,0,"Trawler","Fishing","FISHING GROUNDS",2022-09-22 06:00:00
369970147,9349069,457336,57.27592,-151.4137,93,315,321,0,2022-02-16 13:10:26,"SAT",54,"BELL M.SHIMADA",90,"WTED","US",63.6,15,2218,799,60,2009,720,"Research/Survey Vessel","Special Craft","KODIAK AK",2022-02-16 08:00:00
316039171,9781839,5837763,50.00282,-127.1606,1,161,161,0,2022-02-16 13:02:45,"SAT",38,"CCGS SIR JOHN FRANKLIN",51,"VFAM","CA",63.4,16.24,2975,900,61,2019,0,"Research/Survey Vessel","Special Craft","KYUQUOT",2022-02-12 20:00:00
