"MMSI","IMO","SHIP_ID","LAT","LON","SPEED","HEADING","COURSE","STATUS","TIMESTAMP","DSRC","UTC_SECONDS","SHIPNAME","SHIPTYPE","CALLSIGN","FLAG","LENGTH","WIDTH","GRT","DWT","DRAUGHT","YEAR_BUILT","ROT","TYPE_NAME","AIS_TYPE_SUMMARY","DESTINATION","ETA"
316023833,9185188,382914,48.89359,-125.8653,106,292,297,7,2022-04-21 08:11:49,"TER",47,"RAW SPIRIT",30,"CFN6361","CA",42.99,11,931,NA,58,1998,0,"Trawler","Fishing","FISHING GROUNDS",2022-03-26 06:00:00
367108540,7926538,437193,53.84475,-166.5787,0,336,185,0,2022-04-21 08:10:01,"SAT",58,"NORTHWEST EXPLORER",30,"WCZ9007","US",44.01,7,816,NA,50,1979,0,"Trawler","Fishing","DUTCH HARBOR",2022-04-20 22:00:00
369970147,9349069,457336,34.88559,-121.2026,0,209,148,3,2022-04-21 08:10:35,"TER",33,"BELL M.SHIMADA",90,"WTED","US",63.6,15,2218,799,61,2009,-720,"Research/Survey Vessel","Special Craft","SAN FRANCISCO CA",2022-04-03 14:00:00
316039171,9781839,5837763,48.40255,-123.4631,0,71,70,1,2022-04-21 08:07:48,"TER",47,"CCGS SIR JOHN FRANKLIN",51,"VFAM","CA",63.4,16.24,2975,900,61,2019,0,"Research/Survey Vessel","Special Craft","VICCCGBASE",2022-04-21 16:00:00
