year,lat,lon,zone,vessel
2022,47,-135,zone 5,Sir John Franklin
2022,48,-135,zone 5,Sir John Franklin
2022,49,-135,zone 5,Sir John Franklin
2022,50,-135,zone 5,Sir John Franklin
2022,51,-135,zone 5,Sir John Franklin
2022,52,-135,zone 5,Sir John Franklin
2022,53,-135,zone 5,Sir John Franklin
2022,55,-138,zone 5,Sir John Franklin
2022,54,-138,zone 5,Sir John Franklin
2022,53,-138,zone 5,Sir John Franklin
2022,52,-138,zone 5,Sir John Franklin
2022,51,-138,zone 5,Sir John Franklin
2022,50,-138,zone 5,Sir John Franklin
2022,49,-138,zone 5,Sir John Franklin
2022,48,-138,zone 5,Sir John Franklin
2022,47,-138,zone 5,Sir John Franklin
2022,47,-141,zone 5,Sir John Franklin
2022,48,-141,zone 5,Sir John Franklin
2022,49,-141,zone 5,Sir John Franklin
2022,50,-141,zone 5,Sir John Franklin
2022,51,-141,zone 5,Sir John Franklin
2022,52,-141,zone 5,Sir John Franklin
2022,53,-141,zone 5,Sir John Franklin
2022,54,-141,zone 5,Sir John Franklin
2022,55,-141,zone 5,Sir John Franklin
2022,56,-141,zone 5,Sir John Franklin
2022,57,-141,zone 5,Sir John Franklin
2022,57,-144,zone 5,Sir John Franklin
2022,56,-144,zone 5,Sir John Franklin
2022,55,-144,zone 5,Sir John Franklin
2022,54,-144,zone 5,Sir John Franklin
2022,53,-144,zone 5,Sir John Franklin
2022,52,-144,zone 5,Sir John Franklin
2022,51,-144,zone 5,Sir John Franklin
2022,50,-144,zone 5,Sir John Franklin
2022,49,-144,zone 5,Sir John Franklin
2022,48,-144,zone 5,Sir John Franklin
2022,47,-144,zone 5,Sir John Franklin
2022,47,-156,zone 4,Bell M. Shimada
2022,53,-156,zone 4,Bell M. Shimada
2022,54,-156,zone 4,Bell M. Shimada
2022,55,-156,zone 4,Bell M. Shimada
2022,56,-156,zone 4,Bell M. Shimada
2022,47,-151.5,zone 4,Bell M. Shimada
2022,48,-151.5,zone 4,Bell M. Shimada
2022,49,-151.5,zone 4,Bell M. Shimada
2022,50,-151.5,zone 4,Bell M. Shimada
2022,51,-151.5,zone 4,Bell M. Shimada
2022,52,-151.5,zone 4,Bell M. Shimada
2022,53,-151.5,zone 4,Bell M. Shimada
2022,54,-151.5,zone 4,Bell M. Shimada
2022,55,-151.5,zone 4,Bell M. Shimada
2022,56,-151.5,zone 4,Bell M. Shimada
2022,57,-151.5,zone 4,Bell M. Shimada
2022,57.5,-151.5,zone 4,Bell M. Shimada
2022,58,-151.5,zone 4,Bell M. Shimada
2022,47,-147,zone 4,Bell M. Shimada
2022,48,-147,zone 4,Bell M. Shimada
2022,49,-147,zone 4,Bell M. Shimada
2022,50,-147,zone 4,Bell M. Shimada
2022,51,-147,zone 4,Bell M. Shimada
2022,52,-147,zone 4,Bell M. Shimada
2022,53,-147,zone 4,Bell M. Shimada
2022,54,-147,zone 4,Bell M. Shimada
2022,55,-147,zone 4,Bell M. Shimada
2022,56,-147,zone 4,Bell M. Shimada
2022,57,-147,zone 4,Bell M. Shimada
2022,58,-147,zone 4,Bell M. Shimada
2022,59,-147,zone 4,Bell M. Shimada
2022,59.5,-147,zone 4,Bell M. Shimada
2022,49.59498808,-167.3136579,zone 3,TINRO
2022,48.53685237,-167.2658731,zone 3,TINRO
2022,47.50061988,-167.258087,zone 3,TINRO
2022,46.39749126,-167.2105198,zone 3,TINRO
2022,45.3826394,-167.1621865,zone 3,TINRO
2022,46.08943437,-165.0128003,zone 3,TINRO
2022,47.1073102,-165.0748352,zone 3,TINRO
2022,48.12686032,-165.1270092,zone 3,TINRO
2022,49.15336287,-165.1512027,zone 3,TINRO
2022,50.15789743,-165.1811103,zone 3,TINRO
2022,50.66709702,-163.05302,zone 3,TINRO
2022,49.64556046,-163.0298987,zone 3,TINRO
2022,48.62482346,-162.9716067,zone 3,TINRO
2022,47.59968053,-162.9336103,zone 3,TINRO
2022,46.59804669,-162.8845994,zone 3,TINRO
2022,46.91342603,-160.8248527,zone 3,TINRO
2022,47.87870799,-160.8962675,zone 3,TINRO
2022,48.89171497,-160.8769103,zone 3,TINRO
2022,49.91733367,-160.9359917,zone 3,TINRO
2022,50.97847418,-160.9725466,zone 3,TINRO
2022,51.39524713,-158.4010128,zone 3,TINRO
